PubMed_ID,Title,Publication Date,Non Academic Author(s),Company Affiliations,Corresponding Author Email
40181805,Experimental design for assessing the degradation of tannery azo dyes and real-time effluent.,2025-Apr,None,"School of Life Sciences, B S Abdur Rahman Crescent Institute of Science and Technology, Vandalur, Chennai, Tamil Nadu 600048 India.",N/A
40181804,,2025-Apr,None,"Department of Biochemistry and Biotechnology, Council of Scientific and Industrial Research-Central Leather Research Institute (CSIR-CLRI), Chennai, Tamil Nadu 600020 India.",N/A
40179917,New models for the development of and access to CAR T-cell therapies for children and adolescents with cancer: an ACCELERATE multistakeholder analysis.,2025-Apr,"Andrew D J Pearson (ACCELERATE, Brussels, Belgium. Electronic address: andy1pearson@btinternet.com.); André Baruchel (Hôpital Universitaire Robert Debré and Saint-Louis, Paris, France.); Nicholas Bird (Solving Kids' Cancer UK, London, UK.); Teresa de Rojas (ACCELERATE, Brussels, Belgium.); Delphine Heenen (KickCancer, Brussels, Belgium.); Leona Knox (Solving Kids' Cancer UK, London, UK.); Jerome Larghero (Hôpital Universitaire Robert Debré and Saint-Louis, Paris, France.); Donna Ludwinski (Solving Kids' Cancer, New York, NY, USA.); Joe McDonough (The Andrew McDonough B+ Foundation, Wilmington, DE, USA.); Veronique Minard-Colin (Gustave Roussy Cancer Centre, Paris, France.); Nicole Scobie (Zoe4Life, Sullens, Switzerland.); Susan Weiner (Children's Cancer Cause, Washington, DC, USA.); Gilles Vassal (ACCELERATE, Brussels, Belgium; Gustave Roussy Cancer Centre, Paris, France.)","Pediatric Oncology Branch, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.; Children's Hospital of Philadelphia, Division of Oncology and Center for Childhood Cancer Research, Philadelphia, PA, USA; Department of Pediatrics and Abramson Cancer Center, School of Medicine, University of Pennsylvania, Philadelphia, PA, USA.; Princess Máxima Center for Pediatric Oncology, Utrecht and Erasmus MC-Sophia Children's Hospital, Rotterdam, Netherlands.",andy1pearson@btinternet.com
40179908,"Patient-reported outcomes from the MIRASOL trial evaluating mirvetuximab soravtansine versus chemotherapy in patients with folate receptor α-positive, platinum-resistant ovarian cancer: a randomised, open-label, phase 3 trial.",2025-Apr,"Dominique Berton (Groupe d'Investigateurs National des Etudes des Cancers Ovariens et du Sein (GINECO), Paris, France; Medical Oncology, Institut de Cancérologie de l'Ouest, Centre René Gauducheau, Saint-Herblain, France.); Lingling Li (ImmunoGen, Waltham, MA, USA.); Erin Zagadailov (ImmunoGen, Waltham, MA, USA.); Elisabeth J Diver (ImmunoGen, Waltham, MA, USA.)","Grupo Español de Investigación en Cáncer Ginecológico (GEICO), Madrid Spain; Instituto de Biomedicina de Sevilla (IBiS), Hospital Universitario Virgen del Rocío, Universidad de Sevilla, Consejo Superior de Investigaciones Científicas, Seville, Spain; Medical Oncology Department, Hospital Universitario Virgen del Rocío, Seville, Spain; CIBER de CANCER, Institute of Health Carlos III, Madrid, Spain.; Leuven Cancer Institute, University Hospitals Leuven and KU Leuven, Leuven, Belgium; Belgium and Luxembourg Gynaecological Oncology Group (BGOG), Leuven, Belgium.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; Division of Hematology/Oncology, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, USA.; Department of Gynaecology, Obstetrics and Neonatology, First Faculty of Medicine, Charles University, Czech Republic; General University Hospital in Prague, Prague, Czech Republic; Central and Eastern European Gynecologic Oncology Group (CEEGOG), Prague, Czech Republic.; National Cancer Research Institute (NCRI), London, UK; Department of Medical Oncology, Barts Health NHS Trust, London, UK; Department of Medical Oncology, University College London Hospital, London, UK.; Department of Medical Oncology, Amsterdam University Medical Center, Amsterdam, The Netherlands; Dutch Gynaecological Oncology Group (DGOG), Amsterdam, The Netherlands.; Groupe d'Investigateurs National des Etudes des Cancers Ovariens et du Sein (GINECO), Paris, France; Department of Medical Oncology, Centre Léon Bérard, Lyon, France.; Division of Gynecology and Obstetrics, Department of Gynecology, Obstetrics and Neonatology, Medical University of Gdańsk, Gdańsk, Poland; Polish Gynecologic Oncology Group (PGOG), Warsaw, Poland.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; Multicenter Italian Trials in Ovarian Cancer and Gynecologic Malignancies (MITO) Group, Seoul, South Korea; Medical Oncology Unit, Azienda Ospedaliera Cannizzaro, Catania, Italy; Kore University of Enna, Enna, Italy.; Department of Gynecologic Oncology, OU Health Stephenson Cancer Center, Oklahoma City, OK, USA; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA.; Groupe d'Investigateurs National des Etudes des Cancers Ovariens et du Sein (GINECO), Paris, France; Medical Oncology, Institut de Cancérologie de l'Ouest, Centre René Gauducheau, Saint-Herblain, France.; Department of Medical Oncology, Gustave Roussy, Villejuif, France; Groupe d'Investigateurs National des Etudes des Cancers Ovariens et du Sein (GINECO), Paris, France.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; Department of Obstetrics and Gynecology, The University of Chicago, Chicago, IL, USA.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; O'Neal Comprehensive Cancer Center, The University of Alabama at Birmingham, Birmingham, AL, USA.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; The James Comprehensive Cancer Center, The Ohio State University, Columbus, OH, USA.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; UCLA Health Jonsson Comprehensive Cancer Center, University of California, Los Angeles, Los Angeles, CA, USA.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; UPMC Hillman Cancer Center, Pittsburgh, PA, USA.; Gynecologic Oncology Group Partners (GOG-P), Philadelphia, PA, USA; Department of Oncology, Mayo Clinic, Rochester, MN, USA.; Department of Gynecology, European Institute of Oncology (IEO) IRCCS, Milan, Italy; Mario Negri Gynecologic Oncology group (MaNGO), Milan, Italy.",hilpert@mammazentrum.eu
40168753,Initial acidity regulates microbial sulfur metabolism in the spontaneous fermentation of sesame flavor-type baijiu.,2025-Mar-31,None,"Lab of Brewing Microbiology and Applied Enzymology, Key Laboratory of Industrial Biotechnology of Ministry of Education, State Key Laboratory of Food Science and Technology, School of Biotechnology, Jiangnan University, Wuxi, Jiangsu 214122, China.; Lab of Brewing Microbiology and Applied Enzymology, Key Laboratory of Industrial Biotechnology of Ministry of Education, State Key Laboratory of Food Science and Technology, School of Biotechnology, Jiangnan University, Wuxi, Jiangsu 214122, China. Electronic address: wuq@jiangnan.edu.cn.; Faculty of Biotechnologies (BioTech), ITMO University, 9 Lomonosova Street, 191002 Saint Petersburg, Russia.; Lab of Brewing Microbiology and Applied Enzymology, Key Laboratory of Industrial Biotechnology of Ministry of Education, State Key Laboratory of Food Science and Technology, School of Biotechnology, Jiangnan University, Wuxi, Jiangsu 214122, China; School of Life Sciences, Inner Mongolia University, Hohhot 010000, China.",wuq@jiangnan.edu.cn
40167233,Global identification of key genes for pollen germination in rice through high-throughput screening and gene editing.,2025-Apr-01,None,"Graduate School of Green-Bio Science & Crop Biotech Institute, Kyung Hee University, Yongin, 17104, Korea.; School of Applied Biosciences, Kyungpook National University, Daegu, 41566, Korea.",N/A
40157333,Nirmatrelvir-ritonavir significantly reduces severe COVID-19 outcomes in diverse Taiwanese populations: Comprehensive evidence from a large-scale longitudinal cohort study in Taiwan.,2025-Mar-18,None,"Clinical Data Center, Office of Data Science, Taipei Medical University, Taipei, Taiwan; Clinical Big Data Research Center, Taipei Medical University Hospital, Taipei Medical University, Taipei, Taiwan; Research Center of Health Care Industry Data Science, College of Management, Taipei Medical University, Taipei, Taiwan; International PhD Program in Biotech and Healthcare Management, College of Management, Taipei Medical University, Taipei, Taiwan. Electronic address: jasonhsu@tmu.edu.tw.; International PhD Program in Biotech and Healthcare Management, College of Management, Taipei Medical University, Taipei, Taiwan.; Ph.D. Program in School of Nutrition and Health Sciences, College of Nutrition, Taipei Medical University, Taipei, Taiwan.",jasonhsu@tmu.edu.tw
40157129,Examining the link between 179 lipid species and 7 diseases using genetic predictors.,2025-Mar-28,"Mathias J Gerl (Lipotype GmbH, Dresden, Germany.); Christian Klose (Lipotype GmbH, Dresden, Germany.); Kai Simons (Lipotype GmbH, Dresden, Germany.)","Lipotype GmbH, Dresden, Germany.",linda.ottensmann@helsinki.fi; matti.pirinen@helsinki.fi
40155531,Cytokine biomarkers for independent prediction of hepatocellular carcinoma prognosis.,2025-Mar-29,None,"Ph.D. Program for Biotech Pharmaceutical Industry, China Medical University, Taichung, 404, Taiwan.",chiaofangteng@gmail.com
40153975,L-proline supplementation in the freezing medium enhances the viability and quality of bovine blastocysts after slow freezing and thawing.,2025-Mar-24,"Yeonsub Jung (ET Biotech Co. Ltd., Jangsu, 55609, Republic of Korea.); Hyeonseok Sul (ET Biotech Co. Ltd., Jangsu, 55609, Republic of Korea.); Yeon-Gil Jung (ET Biotech Co. Ltd., Jangsu, 55609, Republic of Korea.)","Veterinary Medical Center and College of Veterinary Medicine, Laboratory of Veterinary Embryology and Biotechnology (VETEMBIO), Chungbuk National University, Cheongju, 28644, Republic of Korea; ET Biotech Co. Ltd., Jangsu, 55609, Republic of Korea.; Veterinary Medical Center and College of Veterinary Medicine, Laboratory of Veterinary Embryology and Biotechnology (VETEMBIO), Chungbuk National University, Cheongju, 28644, Republic of Korea; Institute of Stem Cell & Regenerative Medicine (ISCRM), Chungbuk National University, Cheongju, 28644, Republic of Korea; Vet-ICT Convergence Education and Research Center (VICERC), Chungbuk National University, Cheongju, Republic of Korea; Chungbuk National University Hospital, Cheongju, Republic of Korea. Electronic address: shhyun@cbu.ac.kr.; ET Biotech Co. Ltd., Jangsu, 55609, Republic of Korea.; Veterinary Medical Center and College of Veterinary Medicine, Laboratory of Veterinary Embryology and Biotechnology (VETEMBIO), Chungbuk National University, Cheongju, 28644, Republic of Korea; Institute of Stem Cell & Regenerative Medicine (ISCRM), Chungbuk National University, Cheongju, 28644, Republic of Korea.",shhyun@cbu.ac.kr; durubit@gmail.com
40153938,Early prediction of cardiovascular events following treatments in female breast cancer patients: Application of real-world data and artificial intelligence.,2025-Mar-10,None,"International Ph.D. Program in Biotech and Healthcare Management, College of Management, Taipei Medical University, Taipei City, Taiwan.; Graduate Institute of Data Science, College of Management, Taipei Medical University, Taipei, Taiwan; International Ph.D. Program in Biotech and Healthcare Management, College of Management, Taipei Medical University, Taipei City, Taiwan.; Clinical Data Center, Office of Data Science, Taipei Medical University, Taipei City, Taiwan; Clinical Big Data Research Center, Taipei Medical University Hospital, Taipei Medical University, Taipei City, Taiwan; Research Center of Health Care Industry Data Science, College of Management, Taipei Medical University, Taipei City, Taiwan; International Ph.D. Program in Biotech and Healthcare Management, College of Management, Taipei Medical University, Taipei City, Taiwan. Electronic address: jasonhsu@tmu.edu.tw.",jasonhsu@tmu.edu.tw
40151342,Conventional and cutting-edge advances in plant virus detection: emerging trends and techniques.,2025-Apr,None,"School of Bioengineering and Food Technology, Faculty of Applied Sciences and Biotechnology, Shoolini University, Solan, Himachal Pradesh 173229 India.; Plant Molecular Virology Lab, Department of Botany, School of Chemical and Life Sciences, Jamia Hamdard, New Delhi, 110062 India.; Department of Bio-Sciences and Technology, Maharishi Markandeshwar (Deemed to be University), Mullana, Ambala, 133207 India.; Department of Industrial Biotechnology, College of Biotechnology, Chaudhary Charan Singh Haryana Agricultural University, Hisar, Haryana 125004 India.; NL-11 Centera Tetrahertz Laboratory, Institute of High-Pressure Physics, Polish Academy of Sciences, 29/37 Sokolowska Street, 01142 Warsaw, Poland.",N/A
40141146,Ferroptosis-Related Genes as Molecular Markers in Bovine Mammary Epithelial Cells Challenged with ,2025-Mar-11,None,"State Key Laboratory of Animal Biotech Breeding, National Engineering Laboratory for Animal Breeding, Breeding and Reproduction of Ministry of Agriculture and Rural Affairs, College of Animal Science and Technology, China Agricultural University, Beijing 100193, China.",N/A
40133298,Comparative metagenomic analysis of the oral microbiome in COVID-19 patients and healthy individuals.,2025-Mar-25,"Sakshi Buchke (Xome Life Sciences Pvt. Ltd., Bangalore Bioinnovation Centre, Helix Biotech Park, Electronic City, Bangalore, India.); Nisha Hemandhar-Kumar (Xome Life Sciences Pvt. Ltd., Bangalore Bioinnovation Centre, Helix Biotech Park, Electronic City, Bangalore, India.); Piyush Varsha (Xome Life Sciences Pvt. Ltd., Bangalore Bioinnovation Centre, Helix Biotech Park, Electronic City, Bangalore, India.)","Xome Life Sciences Pvt. Ltd., Bangalore Bioinnovation Centre, Helix Biotech Park, Electronic City, Bangalore, India. pb.inresearch@gmail.com.; Xome Life Sciences Pvt. Ltd., Bangalore Bioinnovation Centre, Helix Biotech Park, Electronic City, Bangalore, India.; Biotechnology Industry Research Assistance Council (BIRAC), H728+H5G, NSIC Estate, Okhla Phase III, Okhla Industrial Estate, New Delhi, Delhi, India. md.birac@nic.in.",md.birac@nic.in; pb.inresearch@gmail.com
40131955,De novo discovery of a molecular glue-like macrocyclic peptide that induces MCL1 homodimerization.,2025-Apr,"Xiangda Peng (Shanghai Zelixir Biotech Company Ltd., Shanghai 200030, China.); Hongkun Geng (Waters | Wyatt Technology, Beijing 100176, China.)","Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Shandong Energy Institute, Qingdao New Energy Shandong Laboratory, Qingdao 266061, China.; Shanghai Zelixir Biotech Company Ltd., Shanghai 200030, China.",N/A
40124131,Improving the thermostability and substrate affinity of ,2025-Apr,None,"Enzyme and Microbial Research Center, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, 43400 UPM Serdang, Selangor Malaysia.; Department of Biotechnology, Federal Institute of Industrial Research Oshodi, P.M.B 21023, Ikeja, Logos Nigeria.",N/A
40121030,A SITC vision: adapting clinical trials to accelerate drug development in cancer immunotherapy.,2025-Mar-22,"Brianna Hoffner (Advanced Practitioner Society for Hematology and Oncology, Hightstown, New Jersey, USA.); Jane Perlmutter (Gemini Group, Ann Arbor, Michigan, USA.); Pedro J Romero (Novigenix SA, Epalinges, Switzerland.); Leisha A Emens (Kaiser Permanente, South Sacramento, California, USA emensle@icloud.com.)","Department of Medical Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Boston, Massachusetts, USA.; Advanced Practitioner Society for Hematology and Oncology, Hightstown, New Jersey, USA.; Center for Research and Analytics, American Society of Clinical Oncology, Alexandria, Virginia, USA.",emensle@icloud.com
40119184,Parasiticidal Activity of Citral Against Enteromyxum leei (myxozoa: myxosporea) in Olive Flounder (Paralichthys olivaceus).,2025-Mar-21,"Chul-Yeon Jung (Changjo Biotech Co. Ltd, Jeju, 63614, Korea.)","Department of Biotechnology, College of Applied Life Science (SARI), Jeju National University, Jeju, 63243, Korea.; Changjo Biotech Co. Ltd, Jeju, 63614, Korea.",khboo@jejunu.ac.kr
40115325,Development of CRISRP/Cas9-based TP53-knockout pig muscle stem cells for use in the cultured meat industry.,2025-Apr,None,"Laboratory of Cell-Based Assays and Innovations, School of Biotechnology, Institute of Agricultural Technology, Suranaree University of Technology, 111 University Avenue, Nakhon Ratchasima, 30000 Thailand.",N/A
40102636,Fibrosis: cross-organ biology and pathways to development of innovative drugs.,2025-Mar-18,None,"Institute of Pharmaceutical Sciences of Western Switzerland, University of Geneva, Geneva, Switzerland. marco.prunotto@unige.ch.",riederf@ccf.org; marco.prunotto@unige.ch
